index,Area,Branch,Address
0,강남구,강남YMCA점,서울 강남구 논현동 230-2
1,강남구,강남구청역아이티웨딩점,"서울 강남구 학동로 338 (논현동, 강남파라곤)"
2,강남구,강남논현학동점,서울 강남구 논현로131길 28 (논현동)
3,강남구,강남대치점,"서울 강남구 역삼로 415 (대치동, 성진빌딩)"
4,강남구,강남도산점,서울 강남구 도산대로37길 20 (신사동)
5,강남구,강남세곡점,"서울 강남구 헌릉로569길 9 (세곡동, 강남지웰파인즈)"
6,강남구,강남율현점,"서울 강남구 밤고개로21길 8 (율현동, 세곡프라자)"
7,강남구,강남자곡점,"서울 강남구 자곡로 180 (자곡동, 강남유탑유블레스)"
8,강남구,개포동역점,"서울 강남구 개포로82길 11 (개포동, 삼우빌딩)"
9,강남구,건설회관점,서울 강남구 언주로 711 (논현동)
10,강남구,대청역점,"서울 강남구 개포로109길 34 (개포동, 대청프라자)"
11,강남구,대치역점,"서울 강남구 남부순환로 2937 (대치동, 까치빌딩)"
12,강남구,도곡2동점,"서울 강남구 논현로 142 (도곡동, 동현빌딩)"
13,강남구,도산사거리점,서울 강남구 논현동 98-12
14,강남구,삼성대치점,"서울 강남구 삼성로64길 32 (대치동, 주성빌딩)"
15,강남구,삼성동점,서울 강남구 테헤란로88길 10 (대치동)
16,강남구,삼성중앙역점,"서울 강남구 삼성로 608 (삼성동, 우창빌딩)"
17,강남구,삼성한전점,서울 강남구 테헤란로107길 11 (삼성동)
18,강남구,선릉사거리점,"서울 강남구 선릉로 519 (역삼동, 삼능빌딩)"
19,강남구,선릉역점,"서울 강남구 테헤란로 332 (역삼동, HJ타워)"
20,강남구,선정릉역점,서울 강남구 봉은사로 326 (역삼동)
21,강남구,수서역점,"서울 강남구 광평로 280 (수서동, 로즈데일오피스텔)"
22,강남구,신사역점,서울 강남구 압구정로2길 62 (신사동)
23,강남구,신사점,서울 강남구 도산대로 118 (논현동)
24,강남구,압구정로데오역점,서울 강남구 선릉로161길 20 (신사동)
25,강남구,압구정점,서울 강남구 신사동 576-10 106호
26,강남구,역삼더블루점,"서울 강남구 논현로63길 16 (역삼동, 역삼종합시장 더블루)"
27,강남구,역삼상록점,"서울 강남구 테헤란로43길 18 (역삼동, SC빌딩)"
28,강남구,역삼역점,서울 강남구 테헤란로25길 17 (역삼동)
29,강남구,역삼월드점,"서울 강남구 역삼로52길 14 (역삼동, 도곡프라자)"
30,강남구,역삼점,서울 강남구 논현로72길 13 (역삼동)
31,강남구,역삼중앙점,서울 강남구 언주로81길 8 (역삼동)
32,강남구,역삼초교점,서울 강남구 강남대로 314 (역삼동)
33,강남구,역삼충현점,서울 강남구 논현로98길 7 (역삼동)
34,강남구,역삼플래티넘점,"서울 강남구 테헤란로4길 46 (역삼동, 쌍용플래티넘밸류)"
35,강남구,을지병원사거리점,서울 강남구 도산대로30길 7 (논현동)
36,강남구,이디야커피랩,"서울 강남구 논현로 636 (논현동, 이디야빌딩)"
37,강남구,일원동점,서울 강남구 양재대로27길 20 (일원동)
38,강남구,청담사거리점,서울 강남구 도산대로 521 (청담동)
39,강남구,청담역점,"서울 강남구 삼성로 721 (청담동, 룩희 819)"
40,강남구,포이사거리점,서울 강남구 개포로 218 (개포동)
41,강남구,학동역점,"서울 강남구 학동로 219 (논현동, 국제빌딩)"
42,강남구,학동제마점,서울 강남구 학동로34길 22 (논현동)
43,강남구,한티역점,서울 강남구 도곡로69길 8 (대치동)
0,강동구,강동고덕교차로점,"서울 강동구 고덕로 421 (강일동, 대한연세요양원)"
1,강동구,강동구청점,"서울 강동구 성내로6길 20 (성내동, 청일 베르네)"
2,강동구,강동성내점,서울 강동구 풍성로 162 (성내동)
3,강동구,강동신명초교점,"서울 강동구 명일로 260 (길동, 길동신동아아파트)"
4,강동구,강동역점,"서울 강동구 천호대로 1065 (천호동, 강동상떼빌)"
5,강동구,강일점,"서울 강동구 아리수로93길 19 (강일동, 임페리얼타워)"
6,강동구,고덕그라시움후문점,서울 강동구 동남로82길 121 (고덕동)
7,강동구,고덕래미안힐스점,"서울 강동구 아리수로50길 50 (고덕동, 래미안힐스테이트고덕)"
8,강동구,고덕점,"서울 강동구 동남로75길 19 (명일동, 명일빌딩)"
9,강동구,굽은다리역점,서울 강동구 양재대로 1543 (천호동)
10,강동구,길동사거리점,서울 강동구 천호대로 1132 (성내동)
11,강동구,길동역점,서울 강동구 양재대로 1471 (길동)
12,강동구,길동중앙점,서울 강동구 명일로 200 (길동)
13,강동구,둔촌점,서울 강동구 양재대로 1377 (성내동)
14,강동구,명일역점,"서울 강동구 구천면로 424 (명일동, 명일메가타운)"
15,강동구,명일중앙점,"서울 강동구 상암로 210 (명일동, 명일현대종합상가)"
16,강동구,보훈병원점,"서울 강동구 명일로 110 (둔촌동, 둔촌동암펠로스타워)"
17,강동구,상일리엔파크점,"서울 강동구 상일로 74 (상일동, 고덕리엔파크3단지아파트)"
18,강동구,암사3동점,"서울 강동구 고덕로 140 (암사동, 프라이어팰리스)"
19,강동구,암사역점,"서울 강동구 올림픽로 782 (암사동, 501타워)"
20,강동구,암사중앙점,"서울 강동구 암사길 50 (암사동, 제이빌더스)"
21,강동구,올림픽북문점,서울 강동구 성안로 7 (성내동)
22,강동구,천호로데오점,서울 강동구 천호대로 1027 (천호동)
23,강동구,천호역점,서울 강동구 천호대로 1006 (성내동)
24,강동구,천호중앙점,"서울 강동구 올림픽로 660 (천호동, 천호엘크루주상복합)"
