,Area,Branch,Address
0,강남구,역삼이마트,서울특별시 강남구 역삼로 310 (역삼동)
1,강남구,삼성동,서울특별시 강남구 영동대로96길 12 (삼성동)
2,강남구,강남논현,서울특별시 강남구 강남대로 512 (논현동)
3,강남구,테헤란로아남타워,서울특별시 강남구 테헤란로 311 (역삼동)
4,강남구,삼성역,서울특별시 강남구 테헤란로 620 (대치동)
5,강남구,강남역신분당역사,서울특별시 강남구 강남대로 396 (역삼동)
6,강남구,대치삼성프라자,서울특별시 강남구 영동대로 237 (대치동)
7,강남구,강남세곡,서울특별시 강남구 헌릉로569길 18 (세곡동)
8,강남구,도산사거리,서울특별시 강남구 언주로 727 (논현동)
9,강남구,센터필드R,서울특별시 강남구 테헤란로 231 (역삼동)
10,강남구,코엑스아셈타워,서울특별시 강남구 영동대로 517 (삼성동)
11,강남구,수서역사거리,서울특별시 강남구 광평로 280 (수서동)
12,강남구,대치한티,서울특별시 강남구 선릉로 324 (대치동)
13,강남구,도산가로수길,"서울특별시 강남구 도산대로 134, 2층 (논현동)"
14,강남구,논현힐탑,서울특별시 강남구 논현로 648 (논현동)
15,강남구,선릉로,"서울특별시 강남구 선릉로93길 22, 대흥빌딩 1층 (역삼동)"
16,강남구,포스코,"서울특별시 강남구 삼성로86길 7, 1층 (대치동)"
17,강남구,르네상스사거리,서울특별시 강남구 테헤란로 306 (역삼동)
18,강남구,압구정로데오역,"서울특별시 강남구 선릉로 836, 삼원빌딩 1,2층 (청담동)"
19,강남구,역삼역,"서울특별시 강남구 테헤란로 145, 우신빌딩 1층 (역삼동)"
20,강남구,강남비젼타워,"서울특별시 강남구 테헤란로2길 27, 1층 101호 (역삼동)"
21,강남구,아크로힐스논현,"서울특별시 강남구 봉은사로 304, 금강빌딩 1-2층 (역삼동)"
22,강남구,신압구정,서울특별시 강남구 언주로174길 29 (신사동)
23,강남구,청담공원,서울특별시 강남구 학동로 506 (삼성동)
24,강남구,차병원사거리,"서울특별시 강남구 봉은사로 213, 센트럴타워 (논현동)"
25,강남구,역삼럭키,서울특별시 강남구 도곡로 183 (역삼동)
26,강남구,코엑스사거리,서울특별시 강남구 영동대로 616 (삼성동)
27,강남구,선릉역,"서울특별시 강남구 테헤란로 334, LG화재 빌딩 (역삼동)"
28,강남구,압구정미소,서울특별시 강남구 논현로 841 (신사동)
29,강남구,GS타워,서울특별시 강남구 논현로 508 (역삼동)
30,강남구,삼성현대힐,서울특별시 강남구 삼성로 605 (삼성동)
31,강남구,선정릉역,서울특별시 강남구 봉은사로 407 (삼성동) 에프오빌딩
32,강남구,학여울역,서울특별시 강남구 영동대로 215 (대치동)
33,강남구,아크플레이스,서울특별시 강남구 테헤란로 142 (역삼동)
34,강남구,포이,서울특별시 강남구 논현로 88 (개포동)
35,강남구,대치역,서울특별시 강남구 남부순환로 2936 (대치동) 107호
36,강남구,강남구청역,"서울특별시 강남구 선릉로 669, 웰빙센터 1층 (논현동)"
